Documentation Page,Source Files,Relationship Type,Notes
docs/index.md,N/A,DERIVED,Landing page - manually maintained
docs/getting_started/index.md,amplifier-app-cli/README.md,DERIVED,Quick start guide for CLI application
docs/getting_started/installation.md,amplifier-app-cli/README.md|amplifier-app-cli/pyproject.toml,DERIVED,Installation methods and requirements
docs/getting_started/providers.md,amplifier-module-provider-*/README.md,REFERENCE,Provider setup and configuration
docs/user_guide/index.md,amplifier-app-cli/README.md,DERIVED,CLI user guide overview
docs/user_guide/cli.md,amplifier-app-cli/amplifier_app_cli/main.py|amplifier-app-cli/amplifier_app_cli/commands/*.py,DERIVED,Complete CLI command reference
docs/user_guide/profiles.md,amplifier-profiles/src/amplifier_profiles/*.py|amplifier-profiles/README.md,DERIVED,Profile system documentation
docs/user_guide/agents.md,amplifier-app-cli/amplifier_app_cli/data/collections/developer-expertise/agents/*|amplifier-app-cli/docs/AGENT_DELEGATION_IMPLEMENTATION.md,DERIVED,Agent delegation and usage - built-in agents in amplifier-app-cli
docs/user_guide/sessions.md,amplifier-core/amplifier_core/session.py|amplifier-app-cli/amplifier_app_cli/session_spawner.py,DERIVED,Session management and persistence
docs/user_guide/collections.md,amplifier-collections/src/amplifier_collections/*.py|amplifier-collections/README.md,DERIVED,Collections system documentation
docs/developer_guides/foundation/index.md,amplifier-core/README.md|amplifier-core/docs/DESIGN_PHILOSOPHY.md|amplifier-profiles/README.md|amplifier-collections/README.md|amplifier-config/README.md|amplifier-module-resolution/README.md,DERIVED,Foundation developer guide overview - covers kernel and all foundation libraries    
docs/developer_guides/applications/index.md,amplifier-core/amplifier_core/session.py|amplifier-app-cli/amplifier_app_cli/__init__.py,DERIVED,Building applications on amplifier-core
docs/developer_guides/applications/cli_case_study.md,amplifier-app-cli/amplifier_app_cli/*.py|amplifier-app-cli/docs/*.md,DERIVED,CLI application architecture case study
docs/developer/index.md,amplifier-core/docs/contracts/README.md,DERIVED,Module developer guide overview
docs/developer/module_development.md,amplifier-core/docs/contracts/*.md|amplifier-module-*/README.md,DERIVED,Creating custom modules
docs/developer/contracts/index.md,amplifier-core/docs/contracts/README.md,DERIVED,Module contracts overview
docs/developer/contracts/provider.md,amplifier-core/docs/contracts/PROVIDER_CONTRACT.md|amplifier-core/amplifier_core/interfaces.py,DERIVED,Provider contract specification
docs/developer/contracts/tool.md,amplifier-core/docs/contracts/TOOL_CONTRACT.md|amplifier-core/amplifier_core/interfaces.py,DERIVED,Tool contract specification
docs/developer/contracts/hook.md,amplifier-core/docs/contracts/HOOK_CONTRACT.md|amplifier-core/amplifier_core/hooks.py,DERIVED,Hook contract specification
